date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:34	81597/81597	---M-Z	200	added ('OK')	text/html	etag:%22c02ae-13ebd-4ffb39d0dd180%22	http://www.js-css.cn/divcss/admin/meAdmin/index.html	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/index.html	(from )
11:52:34	73/73	U-----	200	untouched ('OK')	text/plain	etag:%22810ba-49-518d655558f33%22	http://www.js-css.cn/robots.txt		(from )
11:52:36	97451/97451	---M--	200	added ('OK')	text/css	etag:%22c02ba-17cab-4fdaa56fb1c71%22	http://www.js-css.cn/divcss/admin/meAdmin/bootstrap/css/bootstrap.min.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/bootstrap/css/bootstrap.min.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:37	734/734	---M--	200	added ('OK')	text/css	etag:%22c027e-2de-4fdaa56f92c59%22	http://www.js-css.cn/divcss/admin/meAdmin/assets/css/plugins.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/assets/css/plugins.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:37	5476/5476	---M--	200	added ('OK')	text/css	etag:%22c027f-1564-4fdaa56f92c59%22	http://www.js-css.cn/divcss/admin/meAdmin/assets/css/responsive.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/assets/css/responsive.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:37	53603/53603	---M--	200	added ('OK')	text/css	etag:%22c027c-d163-4fdaa56f92489%22	http://www.js-css.cn/divcss/admin/meAdmin/assets/css/main.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/assets/css/main.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:39	22461/22461	---M--	200	added ('OK')	text/css	etag:%22c029b-57bd-4fdaa56f97691%22	http://www.js-css.cn/divcss/admin/meAdmin/assets/css/fontawesome/font-awesome.min.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/assets/css/fontawesome/font-awesome.min.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:39	44742/44742	---M--	200	added ('OK')	text/css	etag:%22c029d-aec6-4fdaa56f97e61%22	http://www.js-css.cn/divcss/admin/meAdmin/assets/css/icons.css	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/assets/css/icons.css	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:45	27726/27726	---M--	200	added ('OK')	text/javascript	etag:%22c02b3-6c4e-4fdaa56fb0501%22	http://www.js-css.cn/divcss/admin/meAdmin/bootstrap/js/bootstrap.min.js	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/bootstrap/js/bootstrap.min.js	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
11:52:45	1190/1190	---M--	200	added ('OK')	text/javascript	etag:%22e07e2-4a6-4fdaa56f9d451%22	http://www.js-css.cn/divcss/admin/meAdmin/plugins/touchpunch/jquery.ui.touch-punch.min.js	D:/Visual%20Studio/My%20Sites/%e6%bc%82%e4%ba%aeBootstrap3%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfMeAdmin/www.js-css.cn/divcss/admin/meAdmin/plugins/touchpunch/jquery.ui.touch-punch.min.js	(from http://www.js-css.cn/divcss/admin/meAdmin/index.html)
